"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"colombo 5",20,"perches","4",3,2000,NA,"4","Available now",320,"Colombo"
"colombo 3",9.23,"perches","5",4,4000,NA,"3","Available now",147.68,"Colombo"
"rajagiriya",20,"perches","4",4,3000,2,"4","Available now",280,"Colombo"
"kottawa",15.19,"perches","4",3,2500,2,"None","Available now",26,"Colombo"
"gampaha",52,"perches","above 5",3,2800,NA,"None","Available now",NA,"Gampaha"
"nittambuwa",33,"perches","above 5",3,4800,NA,"None","Available now",26.5,"Gampaha"
"kahatuduwa",NA,NA,"3",NA,NA,NA,"None","Available now",13,"Colombo"
"ganemulla",10.1,"perches","4",2,2400,NA,"None","Available now",14,"Gampaha"
"athurugiriya",12,"perches","5",4,2460,2,"1","Available now",26.5,"Colombo"
"ingiriya",33,"perches","5",3,1940,1,"5","Available now",12,"Kalutara"
"athurugiriya",9,"perches","3",3,1440,1,"2","Available now",17,"Colombo"
"colombo 6",NA,NA,"3",2,1800,NA,"None","Available now",67,"Colombo"
"dehiwala",6,"perches","3",2,2800,NA,"1","Available now",35,"Colombo"
"thalawathugoda",50.17,"perches","4",3,3200,NA,"6","Available now",110,"Colombo"
"nawala",9.6,"perches","4",3,2200,NA,"2","Available now",55,"Colombo"
"kanduboda",NA,NA,"4",3,2862,2,"2","Available now",28.5,"Kurunegala"
"colombo 3",26,"perches","above 5",NA,8000,NA,"None","Available now",600,"Colombo"
"colombo 3",16.65,"perches","4",3,NA,NA,"None","Available now",275,"Colombo"
"depanama",20,"perches","4",4,3298,2,"2","Available now",55,"Colombo"
"dehiwala",10,"perches","4",3,3200,2,"2","Available now",45,"Colombo"
"moratuwa",20,"perches","4",4,3800,NA,"4","Available now",22.5,"Colombo"
"battaramulla",14,"perches","5",4,6000,NA,"4","Available now",78,"Colombo"
"peliyagoda",NA,NA,"1",NA,NA,NA,"None","Available now",3.8,"Gampaha"
"nugegoda",11.24,"perches","4",3,3000,2,"3","Available now",39.95,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"wellampitiya",4.1,"perches","4",2,2200,2,"1","For Urgent Sale",16.9,"Colombo"
"kolonnawa",16.8,"perches","above 5",7,4800,NA,"6","Available now",55,"Colombo"
"kawdana",12.5,"perches","above 5",5,NA,NA,"None","Available now",70,"Colombo"
"pelawatte",21,"perches","5",4,NA,NA,"None","Available now",49,"Colombo"
"colombo 7",8.9,"perches","5",3,NA,NA,"None","Available now",160,"Colombo"
"colombo 7",30,"perches","above 5",5,5800,NA,"None","Available now",560,"Colombo"
"colombo 5",16.3,"perches","5",3,3500,NA,"6","Available now",165,"Colombo"
"colombo 3",NA,NA,"4",3,3000,2,"5","Available now",150,"Colombo"
"colombo 5",10,"perches","4",4,3200,NA,"2","Available now",130,"Colombo"
"nawala",12,"perches","5",3,4000,2,"2","Available now",90,"Colombo"
"nugegoda",24.5,"perches","above 5",6,NA,NA,"5","Available now",110,"Colombo"
"nawala",22.65,"perches","above 5",4,NA,NA,"None","Available now",108.72,"Colombo"
"rajagiriya",10,"perches","4",4,3600,3,"2","Available now",55,"Colombo"
"pita kotte",11,"perches","above 5",5,5000,3,"3","Available now",50,"Colombo"
"nawala",10,"perches","4",3,3500,NA,"2","Available now",69,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,3,"6","Available now",170,"Colombo"
"pita kotte",20,"perches","3",2,2000,1,"6","Available now",55,"Colombo"
"nawala",7,"perches","4",3,2500,NA,"2","Available now",50,"Colombo"
"colombo 7",17.5,"perches","4",3,3500,2,"2","Available now",271.25,"Colombo"
"colombo 5",12,"perches","5",4,4000,2,"2","Available now",125,"Colombo"
"rajagiriya",15,"perches","above 5",6,5000,2,"6","Available now",95,"Colombo"
"battaramulla",12,"perches","4",4,3000,2,"2","Available now",70,"Colombo"
"nawala",7.4,"perches","5",6,5200,4,"2","Available now",95,"Colombo"
"ethul kotte",NA,NA,"3",3,1420,NA,"2","Available now",35,"Colombo"
"pita kotte",10,"perches","above 5",4,3000,3,"3","For Urgent Sale",50,"Colombo"
"pelawatte",16,"perches","5",5,NA,NA,"4","Available now",85,"Colombo"
"colombo 7",12.65,"perches","4",3,2000,2,"2","Available now",225,"Colombo"
"nugegoda",9.15,"perches","5",4,4312,NA,"2","Available now",100,"Colombo"
"pannipitiya",9.25,"perches","5",3,1800,NA,"None","Available now",27.5,"Colombo"
"colombo 4",7.5,"perches","4",4,3250,NA,"3","Available now",120,"Colombo"
"ethul kotte",10,"perches","5",4,3000,NA,"3","Available now",45,"Colombo"
"ethul kotte",12.5,"perches","above 5",9,6500,NA,"6","Available now",98,"Colombo"
"rathmalana",6,"perches","2",1,1200,NA,"2","Available now",18,"Colombo"
"kalubowila",6.7,"perches","4",4,3000,2,"2","Price Reduced!",42.5,"Colombo"
"colombo 5",NA,NA,"above 5",3,4500,2,"4","Available now",80,"Colombo"
"pita kotte",18,"perches","above 5",6,8500,3,"3","Available now",240,"Colombo"
"pelawatte",90,"perches","above 5",6,5500,2,"6","Available now",170,"Colombo"
"boralesgamuwa",15.21,"perches","above 5",5,6313,3,"6","Available now",69,"Colombo"
"nugegoda",6,"perches","3",2,1500,NA,"None","Available now",33,"Colombo"
"battaramulla",20.5,"perches","4",3,1,NA,"4","Available now",50,"Colombo"
"piliyandala",7,"perches","4",4,2350,NA,"2","Available now",19.5,"Colombo"
"nugegoda",12,"perches","5",5,NA,NA,"None","Available now",65,"Colombo"
"thalawathugoda",NA,NA,"4",3,2750,3,"2","For Urgent Sale",37,"Colombo"
"thalawathugoda",20,"perches","above 5",8,9000,3,"6","Available now",185,"Colombo"
"battaramulla",12,"perches","5",3,2500,2,"3","Available now",55,"Colombo"
"colombo 3",NA,NA,"2",1,1500,NA,"None","Available now",140,"Colombo"
"colombo 6",8.5,"perches","5",2,3200,NA,"2","Available now",100,"Colombo"
"homagama",20,"perches","4",3,5800,2,"None","Available now",450,"Colombo"
"mirissa",54,"perches","2",NA,NA,NA,"None","Available now",109.45,"Matara"
"galle",114,"perches","3",1,NA,NA,"None","Available now",17.91,"Galle"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"colombo 5",15,"perches","above 5",5,NA,2,"2","Available now",300,"Colombo"
"pelawatte",12,"perches","above 5",6,NA,NA,"4","Available now",150,"Colombo"
"nugegoda",13.5,"perches","above 5",5,4800,2,"6","Available now",41,"Colombo"
"rajagiriya",6.5,"perches","5",2,NA,2,"1","Available now",23,"Colombo"
"nugegoda",21.5,"perches","4",3,NA,2,"None","Available now",105,"Colombo"
"wattala",12.7,"perches","4",NA,3000,NA,"2","Available now",42.5,"Gampaha"
"pannipitiya",16.01,"perches","2",2,2700,NA,"None","Available now",25,"Colombo"
"battaramulla",10,"perches","4",3,5000,NA,"None","Available now",42,"Colombo"
"battaramulla",15,"perches","5",3,4000,NA,"None","Available now",56,"Colombo"
"matale",19.8,"perches","4",2,2400,1,"6","Available now",28,"Matale"
"pannala",11,"perches","4",2,2400,2,"1","Available now",15,"Kurunegala"
"nugegoda",NA,NA,"1",NA,NA,NA,"None","Available now",51,"Colombo"
"colombo 6",8,"perches","5",NA,2800,NA,"None","Available now",72,"Colombo"
"panadura",30,"perches","4",4,4000,2,"4","Available now",2,"Kalutara"
"kottawa",8,"perches","3",3,1800,1,"1","Available now",15,"Colombo"
"athurugiriya",10,"perches","3",3,2500,2,"3","Available now",38,"Colombo"
"nugegoda",7,"perches","4",4,3500,NA,"None","Available now",65,"Colombo"
"madiwela",10.5,"perches","4",4,2500,1,"2","For Urgent Sale",37,"Colombo"
"battaramulla",6,"perches","3",4,2600,NA,"2","Available now",46,"Colombo"
"athurugiriya",NA,NA,"3",3,1350,1,"2","Available now",12.5,"Colombo"
"colombo 7",28,"perches","5",4,6500,2,"6","Available now",550,"Colombo"
"galle",8.9,"perches","5",3,2600,2,"2","Available now",25,"Galle"
"hambantota",168,"perches","3",3,3500,NA,"None","Available now",33,"Hambantota"
"malabe",12.5,"perches","5",4,4000,2,"3","Available now",65,"Colombo"
"piliyandala",15,"perches","above 5",4,3400,2,"2","Available now",30,"Colombo"
"kottawa",9,"perches","above 5",3,2700,3,"3","Available now",39,"Colombo"
"colombo 9",6.5,"perches","4",4,1000,2,"2","Available now",NA,"Colombo"
"galle",116,"perches","5",1,3000,1,"3","For Urgent Sale",19.5,"Galle"
"thalawathugoda",59,"perches","5",4,4000,2,"6","Available now",110,"Colombo"
"boralesgamuwa",6.45,"perches","4",3,2143,2,"2","Available now",42,"Colombo"
"mount lavinia",13.25,"perches","above 5",NA,NA,2,"1","Available now",45,"Colombo"
"kadawatha",27.5,"perches","3",4,2770,2,"5","Available now",46.5,"Gampaha"
"nawala",27,"perches","above 5",6,8000,2,"5","Available now",160,"Colombo"
"colombo 4",NA,NA,"above 5",7,5300,3,"5","Available now",230,"Colombo"
"divulapitiya",17.4,"perches","4",1,1500,1,"1","Sold",7.5,"Gampaha"
"rathmalana",20,"perches","4",3,2000,NA,"2","Available now",78,"Colombo"
"thalawathugoda",15,"perches","3",2,3500,2,"None","For Urgent Sale",32,"Colombo"
"pelawatte",16,"perches","5",5,3000,2,"4","Available now",85,"Colombo"
"embuldeniya",8.18,"perches","5",4,2159,3,"2","Available now",28,"Colombo"
"hokandara",10,"perches","5",4,5200,3,"4","Available now",42,"Colombo"
"nugegoda",20.5,"perches","5",4,4090,NA,"4","Available now",100,"Colombo"
"colombo 5",21.15,"perches","5",5,NA,NA,"None","Available now",95,"Colombo"
"colombo 5",NA,NA,"5",5,5000,NA,"3","Available now",189,"Colombo"
"colombo 5",NA,NA,"3",2,NA,NA,"None","Available now",93,"Colombo"
"colombo 4",NA,NA,"above 5",6,NA,NA,"None","Available now",149,"Colombo"
"colombo 6",30,"perches","5",4,3500,NA,"None","Available now",195,"Colombo"
"colombo 6",NA,NA,"4",3,NA,NA,"None","Available now",78.8,"Colombo"
"rajagiriya",NA,NA,"4",NA,NA,NA,"None","Available now",19.8,"Colombo"
"ganemulla",28,"perches","above 5",6,4000,2,"4","Available now",22,"Gampaha"
"kiribathgoda",82,"perches","5",6,7500,4,"6","Available now",164,"Colombo"
"malabe",12.8,"perches","5",3,4500,3,"3","For Urgent Sale",40,"Colombo"
"pannipitiya",14,"perches","4",3,3500,3,"3","Available now",36,"Colombo"
"nugegoda",20,"perches","5",4,3000,2,"5","Available now",57,"Colombo"
"nugegoda",35,"perches","above 5",6,6500,2,"6","Available now",185,"Colombo"
"nugegoda",13.5,"perches","3",2,1875,2,"5","Available now",27.5,"Colombo"
"battaramulla",21,"perches","4",4,3800,NA,"None","Available now",65,"Colombo"
"koswatta",9.2,"perches","3",2,2000,NA,"None","Available now",60,"Colombo"
"pita kotte",17.5,"perches","5",3,2000,NA,"None","Available now",80,"Colombo"
"kadawatha",20.02,"perches","3",1,3500,NA,"None","Available now",28,"Gampaha"
"battaramulla",36,"perches","4",3,2500,NA,"None","Available now",90,"Colombo"
"kandana",19.6,"perches","4",2,2400,NA,"None","Available now",17.2,"Gampaha"
"ja ela",11,"perches","above 5",3,5000,NA,"None","Available now",18,"Gampaha"
"ja ela",NA,NA,"3",NA,2750,NA,"None","Available now",59,"Gampaha"
"nittambuwa",25,"perches","above 5",4,4000,NA,"None","Available now",38.5,"Gampaha"
"biyagama",39,"perches","5",2,3600,NA,"None","Available now",NA,"Gampaha"
"ja ela",12.1,"perches","4",NA,2200,NA,"None","Available now",NA,"Gampaha"
"nittambuwa",16,"perches","4",2,2200,NA,"None","Available now",NA,"Gampaha"
"gampaha",10,"perches","4",2,2960,NA,"None","Available now",27,"Gampaha"
"nawala",5.5,"perches","above 5",8,5990,NA,"None","Available now",80,"Colombo"
"kottawa",16.2,"perches","above 5",4,3600,2,"5","For Urgent Sale",33.5,"Colombo"
"dehiwala",7,"perches","above 5",7,2000,4,"3","Available now",60,"Colombo"
"kamburugamuwa",25.9,"perches","4",3,2500,2,"4","For Urgent Sale",15.5,"Matara"
"nawala",5.5,"perches","above 5",8,NA,3,"2","Available now",75,"Colombo"
"nawala",52.3,"perches","3",4,4033,1,"None","Available now",418.4,"Colombo"
"unawatuna",185,"perches","3",3,NA,NA,"None","Available now",109.45,"Galle"
"talpe",109,"perches","4",NA,NA,NA,"None","Available now",78.61,"Galle"
"habaraduwa",240,"perches","5",1,NA,NA,"None","Available now",59.7,"Galle"
"ahangama",200,"perches","4",1,NA,NA,"None","Available now",43.78,"Galle"
"thalawathugoda",20,"perches","4",5,4800,3,"4","Price Reduced!",68,"Colombo"
"nawala",10,"perches","4",3,3500,2,"2","For Urgent Sale",69,"Colombo"
"boralesgamuwa",6,"perches","4",3,3000,NA,"None","Available now",27.5,"Colombo"
"kohuwala",6.28,"perches","above 5",3,2000,NA,"None","Available now",37,"Colombo"
"pannipitiya",9.8,"perches","3",1,1635,NA,"None","Available now",22,"Colombo"
"battaramulla",13.5,"perches","5",4,3350,NA,"None","Available now",96,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"pelawatte",27,"perches","4",4,6000,NA,"3","Available now",NA,"Colombo"
"hokandara",11,"perches","5",4,3100,4,"2","Available now",45,"Colombo"
"malabe",21,"perches","5",4,5000,2,"2","Available now",62,"Colombo"
"dehiwala",10.1,"perches","above 5",4,2800,NA,"5","Available now",65,"Colombo"
"pelawatte",22,"perches","3",NA,5000,NA,"None","Available now",120,"Colombo"
"kandy",24,"perches","5",5,NA,NA,"None","Available now",140,"Kandy"
"rathmalana",37,"perches","above 5",6,11000,NA,"None","Available now",100,"Colombo"
"wattala",7.35,"perches","5",4,3100,NA,"3","Available now",32,"Gampaha"
"devinuwara",50,"perches","4",2,3000,1,"2","For Urgent Sale",55,"Matara"
"galle",17,"perches","3",1,1800,1,"2","For Urgent Sale",19,"Galle"
"galle",30,"perches","4",1,1800,1,"6","For Urgent Sale",30,"Galle"
"ahangama",30,"perches","4",2,2900,1,"6","For Urgent Sale",25,"Galle"
"maharagama",10,"perches","4",3,3200,2,"2","For Urgent Sale",27,"Colombo"
"thalawathugoda",15.2,"perches","4",3,2500,2,"1","Available now",55,"Colombo"
"colombo 7",12.6,"perches","4",3,2000,2,"3","Price Reduced!",225,"Colombo"
"colombo 9",25,"perches","5",2,3500,NA,"6","Available now",125,"Colombo"
"habaraduwa",21,"perches","5",1,NA,NA,"None","Available now",11.94,"Galle"
"galle",10,"perches","3",2,NA,NA,"None","Available now",12.94,"Galle"
"galle",62,"perches","3",3,NA,NA,"None","Available now",59.7,"Galle"
"colombo 3",11.9,"perches","4",4,4000,NA,"None","Available now",170,"Colombo"
"rathmalana",15.1,"perches","3",2,1800,NA,"None","Available now",32.5,"Colombo"
"angoda",16.5,"perches","2",2,960,NA,"None","Available now",60,"Colombo"
"dehiwala",9.4,"perches","above 5",6,4500,NA,"None","Available now",50,"Colombo"
"gampaha",15,"perches","4",3,5275,2,"2","Available now",27.5,"Gampaha"
"kalapaluwawa",14,"perches","5",2,2600,2,"3","Available now",22,"Gampaha"
"hokandara",19,"perches","4",2,2800,2,"2","Available now",35,"Colombo"
"hokandara",10,"perches","5",2,2000,2,"3","Available now",22.5,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"boralesgamuwa",9,"perches","5",5,5000,NA,"None","Available now",NA,"Colombo"
"katunayake",59,"perches","4",3,NA,NA,"2","Available now",25,"Gampaha"
"pelawatte",16,"perches","5",5,NA,2,"6","Available now",85,"Colombo"
"pita kotte",10.8,"perches","4",4,4000,2,"3","For Urgent Sale",57,"Colombo"
"piliyandala",8.5,"perches","4",4,3500,2,"None","For Urgent Sale",35,"Colombo"
"pita kotte",20,"perches","above 5",6,5000,NA,"None","Available now",75,"Colombo"
"colombo 5",15.57,"perches","above 5",4,4500,NA,"None","Available now",80,"Colombo"
"katunayake",5,"perches","2",2,1000,1,"2","Available now",7.9,"Gampaha"
"ahangama",NA,NA,"2",1,NA,NA,"None","Available now",17.91,"Galle"
"habaraduwa",87,"perches","2",NA,NA,NA,"None","Available now",26.87,"Galle"
"colombo 5",16.3,"perches","5",3,3500,2,"4","For Urgent Sale",165,"Colombo"
"dehiwala",33.7,"perches","4",4,NA,NA,"2","Available now",107,"Colombo"
"katubedda",20,"perches","3",2,4500,NA,"2","Available now",93,"Colombo"
"malabe",10,"perches","above 5",2,3800,2,"2","Available now",57.5,"Colombo"
"malabe",10.65,"perches","4",3,2310,NA,"None","Available now",24,"Colombo"
"hokandara",6.2,"perches","3",3,1633,NA,"None","Available now",22,"Colombo"
"mount lavinia",4.9,"perches","4",2,2400,NA,"None","Available now",35,"Colombo"
"dehiwala",NA,NA,"4",NA,NA,NA,"None","Available now",100,"Colombo"
"pita kotte",17,"perches","above 5",5,7000,NA,"6","Available now",100,"Colombo"
"dehiwala",6.7,"perches","4",3,2500,NA,"2","For Urgent Sale",44,"Colombo"
"thalawathugoda",12.9,"perches","3",3,2600,2,"1","Available now",33,"Colombo"
"battaramulla",NA,NA,"above 5",5,6500,NA,"None","Available now",202.89,"Colombo"
"madiwela",8.1,"perches","3",2,2500,2,"3","Available now",35,"Colombo"
"colombo 5",8,"perches","above 5",4,4000,NA,"None","Available now",52.5,"Colombo"
"nugegoda",21.5,"perches","4",3,4000,NA,"6","Available now",105,"Colombo"
"panadura",8.2,"perches","2",NA,NA,NA,"None","Available now",6.8,"Kalutara"
"athurugiriya",10.5,"perches","4",4,3500,2,"2","Available now",30,"Colombo"
"thalawathugoda",7,"perches","3",2,3300,2,"2","Available now",41,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"kadawatha",10.5,"perches","3",2,NA,2,"1","Available now",20,"Gampaha"
"mahabage",NA,NA,"3",2,NA,NA,"1","Available now",12,"Gampaha"
"colombo 6",8.5,"perches","above 5",10,5500,NA,"2","Available now",120,"Colombo"
"pita kotte",12.5,"perches","4",3,4200,2,"2","Available now",55,"Colombo"
"maharagama",7,"perches","4",3,2950,2,"3","Available now",39.5,"Colombo"
"homagama",11,"perches","4",3,2500,NA,"None","Available now",13,"Colombo"
"colombo 7",19,"perches","3",3,4440,NA,"None","Available now",320,"Colombo"
"rajagiriya",6.06,"perches","5",3,3800,NA,"None","Available now",56,"Colombo"
"pannipitiya",20,"perches","above 5",8,5000,2,"3","Available now",30,"Colombo"
"negombo",20.5,"perches","3",NA,2700,2,"4","Available now",43,"Gampaha"
"kandy",33,"perches","3",3,2900,NA,"3","Available now",82.5,"Kandy"
"nugegoda",6.2,"perches","3",2,1800,NA,"1","Available now",30,"Colombo"
"kaduwela",9,"perches","5",3,3100,2,"2","Available now",37.5,"Colombo"
"piliyandala",18.78,"perches","3",2,1750,NA,"3","Available now",22,"Colombo"
"colombo 7",NA,NA,"5",NA,NA,NA,"None","Available now",259,"Colombo"
"dehiwala",8.55,"perches","4",4,3300,NA,"3","Available now",55,"Colombo"
"battaramulla",21,"perches","4",4,3800,2,"5","Available now",62.5,"Colombo"
"nugegoda",10,"perches","3",2,2723,1,"2","Available now",55,"Colombo"
"battaramulla",16,"perches","4",4,NA,NA,"2","Available now",72,"Colombo"
"nawala",24.7,"perches","4",3,3000,NA,"None","Available now",125,"Colombo"
"dehiwala",10.19,"perches","4",4,NA,2,"None","Available now",96,"Colombo"
"battaramulla",45,"perches","5",3,4012,NA,"None","Available now",120,"Colombo"
"rajagiriya",45,"perches","4",3,8000,2,"6","Available now",NA,"Colombo"
"kandy",80,"perches","4",4,NA,2,"6","Available now",85,"Kandy"
"colombo 5",NA,NA,"4",5,4600,NA,"None","Available now",180,"Colombo"
"boralesgamuwa",7.5,"perches","4",4,NA,NA,"None","Available now",36,"Colombo"
"thalawathugoda",12.9,"perches","3",3,2600,2,"1","Available now",34,"Colombo"
"pelawatte",6.75,"perches","3",3,2000,2,"None","Available now",35,"Colombo"
"dehiwala",7.4,"perches","4",3,2200,NA,"None","Available now",55,"Colombo"
"mirissa",47,"perches","above 5",9,3866,NA,"None","Available now",120,"Matara"
"moratuwa",20.7,"perches","above 5",NA,5800,2,"2","Available now",54,"Colombo"
"galle",80,"perches","above 5",6,NA,NA,"None","Available now",248.75,"Galle"
"malabe",11,"perches","4",3,4300,NA,"2","Available now",26.5,"Colombo"
"ja ela",10,"perches","4",2,3200,NA,"1","Available now",30,"Gampaha"
