"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"nawala",18,"perches","above 5",4,3800,NA,"4","Available now",168,"Colombo"
"nugegoda",15,"perches","4",4,5000,NA,"None","Available now",140,"Colombo"
"battaramulla",16,"perches","5",4,NA,NA,"4","Available now",90,"Colombo"
"homagama",10,"perches","2",2,NA,NA,"None","Available now",12,"Colombo"
"malabe",7,"perches","5",4,3750,3,"2","Available now",35,"Colombo"
"malabe",7,"perches","5",4,3750,3,"2","Available now",35,"Colombo"
"thalawathugoda",15,"perches","4",4,4000,2,"6","Available now",52.5,"Colombo"
"thalawathugoda",11,"perches","5",4,3800,2,"4","Available now",45,"Colombo"
"thalawathugoda",7.7,"perches","4",4,3300,2,"2","Available now",42.5,"Colombo"
"battaramulla",22,"perches","5",4,4500,3,"3","Available now",115,"Colombo"
"thalawathugoda",13.5,"perches","5",4,3350,2,"2","Available now",96,"Colombo"
"battaramulla",14,"perches","3",2,1750,1,"4","Available now",49,"Colombo"
"battaramulla",14,"perches","5",4,4000,2,"2","Available now",75,"Colombo"
"battaramulla",9,"perches","4",4,2800,2,"2","Available now",27,"Colombo"
"battaramulla",6,"perches","4",3,2700,2,"2","Available now",38.5,"Colombo"
"malabe",11,"perches","4",2,1700,1,"2","Available now",19,"Colombo"
"pita kotte",10,"perches","4",4,4000,3,"4","Available now",100,"Colombo"
"boralesgamuwa",14.6,"perches","5",3,2911,2,"1","Available now",29.5,"Colombo"
"kottawa",7.5,"perches","3",3,2000,2,"3","Available now",24.3,"Colombo"
"kohuwala",11,"perches","3",2,NA,1,"2","Available now",30,"Colombo"
"kottawa",6.5,"perches","3",2,1350,2,"1","Available now",26.5,"Colombo"
"kiribathgoda",NA,NA,"5",3,3200,2,"4","Available now",47,"Colombo"
"battaramulla",20,"perches","4",3,3200,2,"4","Available now",55,"Colombo"
"mount lavinia",9.12,"perches","3",2,2500,1,"1","Available now",38,"Colombo"
"angoda",17,"perches","4",4,3000,NA,"2","Available now",80,"Colombo"
"ja ela",9,"perches","4",3,2500,NA,"1","Available now",18,"Gampaha"
"mount lavinia",16,"perches","above 5",4,4000,2,"None","Available now",55,"Colombo"
"pita kotte",11.5,"perches","5",3,2300,NA,"2","Available now",58.5,"Colombo"
"dehiwala",11.16,"perches","5",4,3500,NA,"4","Available now",65,"Colombo"
"biyagama",86,"perches","above 5",5,3200,NA,"4","Available now",86,"Gampaha"
"ethul kotte",11.8,"perches","5",3,3012,2,"2","Available now",65.6,"Colombo"
"kandy",15,"perches","4",3,1800,2,"1","Available now",22.5,"Kandy"
"malabe",6.3,"perches","4",4,2750,2,"2","Available now",27,"Colombo"
"kandy",14,"perches","3",1,1500,1,"2","Available now",23,"Kandy"
"homagama",10,"perches","5",3,3250,NA,"2","Available now",26,"Colombo"
"battaramulla",1800,"perches","3",3,1800,2,"2","Available now",39,"Colombo"
"kirillawala",10,"perches","2",1,1250,NA,"1","Available now",15,"Gampaha"
"ethul kotte",11.7,"perches","5",4,2100,2,"3","Available now",54.5,"Colombo"
"kottawa",15,"perches","4",4,NA,NA,"None","Available now",27.5,"Colombo"
"kottawa",8,"perches","4",4,2800,NA,"None","Available now",26,"Colombo"
"kottawa",12,"perches","4",2,NA,NA,"None","Available now",33,"Colombo"
"gampaha",NA,NA,"4",2,NA,NA,"None","Available now",32,"Gampaha"
"kottawa",10,"perches","4",4,3800,NA,"None","Available now",34,"Colombo"
